step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
107,36.4749,-0.218538,-0.112207,0.451491,3604.51,6.06299,0.0,-0.4829569458961487,1.0,0.0,2,34.203445675930325,-0.0823404453795,-0.22628432512283325,-0.0,-1.0,0.0,0.0,33.05321993301398,
108,36.9973,-0.695272,-0.10844,0.454823,3604.71,6.26636,0.0,0.33188778162002563,1.0,0.0,2,34.77791870959869,-0.08413611488950001,-0.8148447275161743,-0.0,-1.0,0.0,0.0,33.449329176454334,
109,37.4618,-0.905937,-0.102313,0.457651,3604.92,6.47266,0.0,-0.009917326271533966,1.0,0.0,2,35.35282402483712,-0.08572215115899999,-0.3418051078915596,-0.0,-1.0,0.0,0.0,34.164560341310654,
110,38.0845,-0.502013,-0.0992397,0.460536,3605.13,6.68188,0.0,-0.38902547955513,1.0,0.0,2,36.01046908455494,-0.08769641646,-0.37910815328359604,-0.0,-1.0,0.0,0.0,34.809040222109864,
111,38.7212,-0.673304,-0.0967758,0.463535,3605.34,6.89478,0.0,0.40064534544944763,1.0,0.0,2,36.66930438508835,-0.08974315721000001,-0.7896708250045776,-0.0,-1.0,0.0,0.0,35.34265998037698,
112,39.28,-0.66696,-0.0922335,0.46626,3605.56,7.11084,0.0,0.5911846160888672,1.0,0.0,2,37.30414189731703,-0.09157346400000001,-0.19053927063941956,-0.0,-1.0,0.0,0.0,36.15540665212521,
113,39.7905,-0.112299,-0.0916284,0.469263,3605.78,7.33008,0.0,-1.0,1.0,0.0,2,37.80316089098986,-0.0933610470075,-1.5911846160888672,-0.0,-1.0,0.0,0.0,36.2324444591557,
114,40.3458,0.160485,-0.0943144,0.472808,3606.0,7.55176,0.0,0.28428027033805847,1.0,0.0,2,38.26671532138535,-0.095379085032,-1.2842802703380585,-0.0,-1.0,0.0,0.0,36.78605215525193,
115,40.9822,0.404296,-0.0969923,0.476616,3606.22,7.77661,0.0,-0.5764092206954956,1.0,0.0,3,38.80521674438302,-0.097663861176,-0.8606894910335541,-0.0,-1.0,0.0,0.0,37.44934603589695,
116,41.1556,0.394895,-0.100767,0.480817,3606.45,8.00391,0.0,0.36281800270080566,1.0,0.0,3,38.8767742057809,-0.09894156062600001,-0.9392272233963013,-0.0,-1.0,0.0,0.0,37.496064478136006,
117,41.1164,0.506545,-0.102891,0.485023,3606.68,8.2312,0.0,0.411529004573822,1.0,0.0,3,38.78742784152831,-0.09971199838599999,-0.04871100187301636,-0.0,-1.0,0.0,0.0,37.67310254258041,
